Review_Title,User_Name,Rating,Review_Date,Review_Text
Don't work,Lilly,1,2025-01-04,They don't work
,Janelle,5,2025-01-04,Love these so easy to use great sound
,Nicole,5,2025-01-04,For my daughter and she absolutely loves them. For my daughter and she absolutely loves them
,MONICA,5,2025-01-04,My daughter love them
Lasted less than 6 months,cynthia,3,2025-01-04,2nd pair of apple AirPods I've owned. The left AirPod stopped working after 3 months of use. The right AirPod works but the volume is low and no one can hear me when I have them in my ears.
,Gabrielle,5,2025-01-04,Good price and works perfectly!
,Ahjah,5,2025-01-04,I love them
,cynthia,5,2025-01-04,good stuff
,MARSHALYNN,5,2025-01-04,Worked perfectly
Don't work,Lilly,1,2025-01-04,They don't work
,LHYDDA,5,2025-01-04,Perfect for my small ears!
,aurelia,5,2025-01-03,bought for my 13 yo daughter and she loves them
Won't work,aaron,1,2025-01-03,They won't charge or connect to my phone after 1 wwwk of using them
Love this!,Kala,5,2025-01-03,Love my new air pods! I lost my other pair but these were a great replacement
A lot of hype but not a lot of noise,Michelle,4,2025-01-03,Nice but they could have better sound quality My Iphone itself sounds better on its own than this
I'm very heart broken,Wendy,1,2025-01-03,My pods has gone where I barely can here anything I wasted my money I'm very disappointed
The best,Thomeka,5,2025-01-03,I have all the AirPods that has been made. I keep coming back to these. These are the best EVER!!!
,Aaliyah,1,2025-01-03,they were broken when purchased
,Nakitia,5,2025-01-03,Work great!
Great purchase,Bobbie,5,2025-01-03,Thank you! Been searching for this specific headphone for a while. Bought it as a gift or a family member since they have an older version of the iPhone
,Virginia,5,2025-01-03,I love my AirPods they dont hurt my ear
,Kim,3,2025-01-03,Never received my email for the 3 months free Apple Music and things
,Andrew,1,2025-01-03,does not connect. i am returning item.
,Eric,1,2025-01-02,One side stop working month ago and be I used payment plan didn't know how to return them
Apple airpods,Jennifer,5,2025-01-02,Got them for Black Friday for a fair price and it works great! Highly recommended.
Big no,Kimberly,1,2025-01-02,These hurt my ears!!!
,Nina,5,2025-01-02,my daughter loved it.
,Shelitha,5,2025-01-02,Affordable and easy to clean and love the sound and the size
,JIM,5,2025-01-02,"Amazing product ,charges very quickly and so very clear sound ......wireless!!!!"
Too big for me,Cristie,3,2025-01-02,Ear buds are large and uncomfortable. I wish there were smaller sizes available.
Kind of disappointed,Porsha,3,2025-01-02,They don't seem to work as good as my others. People have a hard time hearing me
Great!,Kristopher,5,2025-01-02,Work well and have a long battery life.
Airpods,Ruben,5,2025-01-01,Great price for a great quality item.
,Joy,5,2025-01-01,itwas my first time using the air pods it seems to working great. Love them.
,Robbie,5,2025-01-01,My kids first set of real Air Pods. The sound quality is amazing!
worked great,brandon,5,2025-01-01,worked great
,Joy,5,2025-01-01,itwas my first time using the air pods it seems to working great. Love them.
First time Apple AirPods,PE,5,2025-01-01,I will enjoyed wearing the Apple AirPods working out at the gym. They are comfortable and the music sounds great! I highly recommend them.
Bad Quality,Cynthia,2,2025-01-01,the left side wasn't able to charge after less than one month use.
2nd Gen Airpods,Eugenia,4,2024-12-31,"I like the good sound quality. They are much better than i expected, since they are 2nd generation. I bought them as a gift for my granddaughter and she is very happy with them."
Serial number changes,Skyylita,1,2024-12-31,I purchased brand new and got it out the box. But when returning the serials numbers were different on both pods then the serial numbers on the box.
,missy,5,2024-12-31,My daughter loves these. And the price online was worthy the wait !
,Kelly,1,2024-12-31,"They hurt my ears badly, I got Beats by Dre for $99 now and they are amazing. I have my own cleaning business so comfort is very important as I wear earbuds 6-7 hours daily."
,missy,5,2024-12-31,My daughter loves these. And the price online was worthy the wait !
,Tawanda,1,2024-12-31,Doesn't stay charged for long
Apple AirPods,Bruce,5,2024-12-30,"Bought these as a gift. Least expensive of all web sights, fast delivery!"
Bad purchase,Briana,1,2024-12-30,Left AirPod stopped working after 3 weeks. The Airpod case only stays charged for a day.
best,CLAUDIA,5,2024-12-30,fun to ear clear
Airpods 2nd Generation,Lori,5,2024-12-30,Nice and easy to setup
AAAAHHHHHHH,Leah,5,2024-12-30,Mind blowing 100/10 I'd buy again
,ayana,5,2024-12-30,"Absolutely love these, my fav!"
Apple AirPods,Bruce,5,2024-12-30,"Bought these as a gift. Least expensive of all web sights, fast delivery!"
Good,Andi,5,2024-12-30,"Not sure why there are so many negative reviews for getting these in store. I got mine delivered from the store, and thankfully they're perfectly fine."
Unhappy,Susan,1,2024-12-30,I purchased 2nd generation and these are first generation
Unhappy,Susan,1,2024-12-30,I purchased 2nd generation and these are first generation
best,CLAUDIA,5,2024-12-30,fun to ear clear
,SportMama,5,2024-12-30,Only version of AirPods I will use.
Great deal,Jade,5,2024-12-30,Got it as a gift for Christmas while it was on sale. They arrived quickly in perfect condition.
best,CLAUDIA,5,2024-12-30,fun to ear clear
,Maria,5,2024-12-30,My daughter loves them
,ozo1986,5,2024-12-30,They're awesome
,SportMama,5,2024-12-30,Only version of AirPods I will use.
